Time,temperature1,temperature2,temperature3
1499306551000,18.83,11.609,10.627
1499310151000,18.995,11.789,10.615
1499313751000,19.12,11.164,10.589
1499317351000,19.581,11.333,10.61
1499320951000,19.458,11.506,10.7
1499324551000,19.009,11.784,10.873
1499328151000,19.243,11.833,10.999
1499331751000,19.19,11.903,10.996
1499335351000,19.256,11.839,10.956
1499338951000,19.408,12.214,10.919
1499342551000,19.482,12.21,10.741
1499346151000,19.522,12.124,10.642
1499349751000,19.597,12.24,10.603
1499353351000,19.485,12.054,10.747
1499356951000,19.529,11.669,10.95
1499360551000,19.512,11.553,10.781
1499364151000,19.624,11.551,10.797
1499367751000,19.6,12.058,10.845
1499371351000,19.63,11.966,10.896
1499374951000,19.712,11.919,10.9
1499378551000,19.76,11.861,10.631
1499382151000,19.734,11.751,10.69
1499385751000,19.701,11.962,10.681
1499389351000,20.123,12.177,10.653
1499392951000,19.952,11.826,10.71
1499396551000,20.059,11.758,10.686
1499400151000,19.898,11.946,10.832
1499403751000,19.907,11.934,10.849
1499407351000,19.908,11.875,10.868
1499410951000,19.888,11.769,10.987
1499414551000,19.933,11.987,11.05
1499418151000,19.936,11.955,10.707
1499421751000,19.916,12.005,10.953
1499425351000,19.897,12.053,10.774
1499428951000,19.855,12.165,10.845
1499432551000,19.811,12.183,10.581
1499436151000,19.814,12.137,10.426
1499439751000,19.798,12.368,10.825
1499443351000,19.775,11.819,10.961
1499446951000,19.852,11.84,10.987
1499450551000,19.867,11.657,10.706
1499454151000,19.792,11.787,10.71
1499457751000,19.773,11.596,10.598
1499461351000,19.786,11.59,10.503
1499464951000,19.94,11.686,10.497
1499468551000,20.29,11.657,10.553
1499472151000,20.016,11.805,10.503
1499475751000,19.784,11.712,10.46
1499479351000,19.975,11.749,10.623
1499482951000,19.641,11.774,10.619
1499486551000,19.679,11.712,10.635
1499490151000,19.754,12.061,10.739
1499493751000,19.867,11.847,10.924
1499497351000,19.793,11.927,10.963
1499500951000,19.757,11.526,10.998
1499504551000,20.046,12.014,10.997
1499508151000,20.027,12.245,10.608
1499511751000,19.906,12.175,10.603
1499515351000,19.788,12.575,10.586
1499518951000,19.746,11.996,10.56
1499522551000,19.817,11.917,10.472
1499526151000,19.223,11.948,10.523
1499529751000,19.415,11.662,10.628
1499533351000,19.503,11.722,10.654
1499536951000,19.236,11.638,10.934
1499540551000,19.376,11.767,10.733
1499544151000,19.455,11.508,10.658
1499547751000,19.624,11.201,10.639
1499551351000,19.706,11.778,10.697
1499554951000,19.893,12.082,10.721
1499558551000,20.368,12.176,10.74
1499562151000,19.967,11.924,10.756
1499565751000,20.755,11.718,10.781
1499569351000,20.902,11.733,10.731
1499572951000,20.669,11.68,10.738
1499576551000,20.311,11.404,10.746
1499580151000,20.884,11.355,10.701
1499583751000,20.57,11.525,10.731
1499587351000,20.187,11.857,11.016
1499590951000,19.807,13.119,10.802
1499594551000,20.696,12.726,10.974
1499598151000,20.656,12.708,10.72
1499601751000,19.397,12.553,10.711
1499605351000,20.095,11.757,10.715
1499608951000,19.459,11.654,10.643
1499612551000,19.59,11.478,10.678
1499616151000,20.677,11.63,10.703
1499619751000,20.554,11.576,10.823
1499623351000,20.716,11.627,10.722
1499626951000,20.674,11.564,10.784
1499630551000,20.699,11.488,10.801
1499634151000,20.73,11.528,10.766
1499637751000,20.829,11.719,10.721
1499641351000,20.933,12.061,10.775
1499644951000,20.517,12.173,10.758
1499648551000,20.532,12.377,10.873
1499652151000,20.526,12.251,10.93
1499655751000,20.65,11.754,10.987
1499659351000,20.205,12.22,11.005
1499662951000,20.708,12.098,10.803
1499666551000,20.621,12.143,10.854
1499670151000,20.716,12.199,10.735
1499673751000,20.47,12.377,10.738
1499677351000,20.488,12.341,10.757
1499680951000,20.452,12.339,10.755
1499684551000,20.533,11.886,10.792
1499688151000,20.525,11.851,10.767
1499691751000,20.424,11.859,10.784
1499695351000,20.22,11.899,11.025
1499698951000,20.044,11.724,10.675
1499702551000,20.639,11.672,10.596
1499706151000,20.622,11.695,10.611
1499709751000,21.056,11.888,10.736
1499713351000,20.586,12.172,10.744
1499716951000,20.495,12.176,10.707
1499720551000,20.827,11.976,10.569
1499724151000,20.567,11.966,10.607
1499727751000,21.632,12.072,10.558
1499731351000,21.841,12.018,10.614
1499734951000,21.588,12.274,10.657
1499738551000,20.994,12.0,10.62
1499742151000,21.443,12.013,10.667
1499745751000,21.163,11.939,10.709
1499749351000,21.308,12.057,10.762
1499752951000,21.537,12.024,10.681
1499756551000,21.545,11.966,10.735
1499760151000,20.65,11.914,10.692
1499763751000,21.923,12.061,10.756
1499767351000,21.458,12.224,10.894
1499770951000,20.614,12.136,10.874
1499774551000,21.628,12.527,10.897
1499778151000,20.194,12.467,10.681
1499781751000,20.31,11.964,10.682
1499785351000,20.008,11.942,10.824
1499788951000,21.455,11.952,10.714
1499792551000,21.317,12.004,10.774
1499796151000,20.377,11.998,10.868
1499799751000,20.54,11.956,10.907
1499803351000,20.999,11.96,10.914
1499806951000,21.542,12.02,10.694
1499810551000,21.821,12.096,10.692
1499814151000,21.587,12.029,10.657
1499817751000,22.409,12.251,10.815
1499821351000,22.434,12.214,10.681
1499824951000,21.558,12.774,10.853
1499828551000,21.887,12.338,10.764
1499832151000,21.794,12.067,10.757
1499835751000,22.146,12.116,10.781
1499839351000,22.15,12.071,10.798
1499842951000,22.224,11.595,10.912
1499846551000,22.269,11.537,10.971
1499850151000,22.296,11.539,10.937
1499853751000,22.297,12.304,10.946
1499857351000,22.284,11.89,10.962
1499860951000,22.268,11.931,10.971
1499864551000,22.25,12.02,10.946
1499868151000,22.108,12.04,10.887
1499871751000,20.716,12.083,10.841
1499875351000,22.008,12.22,10.962
1499878951000,22.254,12.167,10.968
1499882551000,22.271,12.021,10.953
1499886151000,22.28,11.945,10.79
1499889751000,22.064,12.078,10.813
1499893351000,22.325,12.212,10.802
1499896951000,22.396,12.319,11.009
1499900551000,22.776,11.83,10.899
1499904151000,22.773,12.127,10.891
1499907751000,22.64,11.933,10.86
1499911351000,22.517,12.059,10.908
1499914951000,22.631,12.031,10.854
1499918551000,22.59,12.106,10.87
1499922151000,22.598,11.653,10.886
1499925751000,22.378,11.557,10.81
1499929351000,22.486,11.589,10.639
1499932951000,22.013,11.441,10.705
1499936551000,20.775,11.807,10.777
1499940151000,20.919,11.781,10.799
1499943751000,21.777,12.141,10.836
1499947351000,21.633,12.232,10.915
1499950951000,21.8,12.087,10.712
1499954551000,22.181,11.971,10.872
1499958151000,22.224,12.021,10.908
1499961751000,22.048,11.936,10.934
1499965351000,20.873,11.867,10.881
1499968951000,21.588,11.482,10.887
1499972551000,21.1,12.077,10.78
1499976151000,22.34,12.175,10.822
1499979751000,22.353,11.956,10.892
1499983351000,22.5,12.129,10.744
1499986951000,22.572,12.223,10.796
1499990551000,22.78,11.825,10.775
1499994151000,22.857,11.674,10.745
1499997751000,22.533,11.756,11.17
1500001351000,21.739,11.723,10.768
1500004951000,21.166,11.552,10.681
1500008551000,20.972,11.672,10.838
1500012151000,20.286,11.552,10.683
1500015751000,19.423,11.747,10.749
1500019351000,19.154,11.542,10.748
1500022951000,17.658,11.528,10.88
1500026551000,18.383,11.476,10.906
1500030151000,18.47,12.118,10.88
1500033751000,20.109,12.058,10.892
1500037351000,20.021,11.699,10.902
1500040951000,19.369,11.689,10.882
1500044551000,20.279,11.611,10.924
1500048151000,20.011,11.404,10.707
1500051751000,20.155,11.431,
1500055351000,18.404,11.931,10.6
1500058951000,20.539,12.144,11.067
1500062551000,20.838,12.171,10.96
1500066151000,20.086,12.246,11.019
1500069751000,19.592,11.531,10.919
1500073351000,19.263,11.533,10.754
1500076951000,19.347,11.706,10.76
1500080551000,19.428,11.687,10.773
1500084151000,18.928,11.648,10.802
1500087751000,18.664,11.528,10.732
1500091351000,18.29,11.748,10.693
1500094951000,18.925,11.532,10.797
1500098551000,19.023,11.545,10.815
1500102151000,18.979,11.858,10.833
1500105751000,18.562,11.84,10.908
1500109351000,18.527,11.782,10.849
1500112951000,17.435,11.572,11.01
1500116551000,18.658,11.644,10.751
1500120151000,18.639,11.499,10.698
1500123751000,18.28,11.704,10.746
1500127351000,17.439,11.867,10.861
1500130951000,18.713,11.878,10.801
1500134551000,17.212,11.774,10.728
1500138151000,17.591,11.655,10.427
1500141751000,18.684,11.535,10.639
1500145351000,18.808,11.915,10.644
1500148951000,19.209,12.386,10.66
1500152551000,19.425,12.002,10.736
1500156151000,18.434,11.556,10.77
1500159751000,17.79,11.428,10.777
1500163351000,18.112,11.272,10.673
1500166951000,18.244,11.392,10.654
1500170551000,18.102,11.415,10.653
1500174151000,18.723,11.418,10.658
1500177751000,18.305,11.395,10.706
1500181351000,19.881,11.356,10.804
1500184951000,18.506,11.367,10.822
1500188551000,19.514,11.373,10.722
1500192151000,18.652,11.723,10.678
1500195751000,18.706,11.837,10.703
1500199351000,16.43,11.89,10.711
1500202951000,18.43,11.866,10.466
1500206551000,17.84,12.051,10.455
1500210151000,18.767,11.758,10.488
1500213751000,17.66,11.434,10.633
1500217351000,19.992,11.218,10.618
1500220951000,19.999,11.382,10.566
